gameDate,visitorsTeam,visitorsTeamPoints,homeTeam,homeTeamPoints
2021-10-19,Brooklyn Nets,104,Milwaukee Bucks,127
2021-10-19,Golden State Warriors,121,Los Angeles Lakers,114
2021-10-20,Indiana Pacers,122,Charlotte Hornets,123
2021-10-20,Chicago Bulls,94,Detroit Pistons,88
2021-10-20,Boston Celtics,134,New York Knicks,138
2021-10-20,Washington Wizards,98,Toronto Raptors,83
2021-10-20,Cleveland Cavaliers,121,Memphis Grizzlies,132
2021-10-20,Houston Rockets,106,Minnesota Timberwolves,124
2021-10-20,Philadelphia 76ers,117,New Orleans Pelicans,97
2021-10-20,Orlando Magic,97,San Antonio Spurs,123
2021-10-20,Oklahoma City Thunder,86,Utah Jazz,107
2021-10-20,Sacramento Kings,124,Portland Trail Blazers,121
2021-10-20,Denver Nuggets,110,Phoenix Suns,98
2021-10-21,Dallas Mavericks,87,Atlanta Hawks,113
2021-10-21,Milwaukee Bucks,95,Miami Heat,137
2021-10-21,Los Angeles Clippers,113,Golden State Warriors,115
2021-10-22,New York Knicks,121,Orlando Magic,96
2021-10-22,Indiana Pacers,134,Washington Wizards,135
2021-10-22,Charlotte Hornets,123,Cleveland Cavaliers,112
2021-10-22,Toronto Raptors,115,Boston Celtics,83
2021-10-22,Brooklyn Nets,114,Philadelphia 76ers,109
2021-10-22,Oklahoma City Thunder,91,Houston Rockets,124
2021-10-22,New Orleans Pelicans,112,Chicago Bulls,128
2021-10-22,San Antonio Spurs,96,Denver Nuggets,102
2021-10-22,Phoenix Suns,115,Los Angeles Lakers,105
2021-10-22,Utah Jazz,110,Sacramento Kings,101
2021-10-23,Atlanta Hawks,95,Cleveland Cavaliers,101
2021-10-23,Miami Heat,91,Indiana Pacers,102
2021-10-23,Dallas Mavericks,103,Toronto Raptors,95
2021-10-23,Detroit Pistons,82,Chicago Bulls,97
2021-10-23,New Orleans Pelicans,89,Minnesota Timberwolves,96
2021-10-23,Milwaukee Bucks,121,San Antonio Spurs,111
2021-10-23,Phoenix Suns,105,Portland Trail Blazers,134
2021-10-23,Memphis Grizzlies,120,Los Angeles Clippers,114
2021-10-24,Charlotte Hornets,111,Brooklyn Nets,95
2021-10-24,Boston Celtics,107,Houston Rockets,97
2021-10-24,Orlando Magic,110,New York Knicks,104
2021-10-24,Philadelphia 76ers,115,Oklahoma City Thunder,103
2021-10-24,Golden State Warriors,119,Sacramento Kings,107
2021-10-24,Memphis Grizzlies,118,Los Angeles Lakers,121
2021-10-25,Boston Celtics,140,Charlotte Hornets,129
2021-10-25,Milwaukee Bucks,119,Indiana Pacers,109
2021-10-25,Chicago Bulls,111,Toronto Raptors,108
2021-10-25,Orlando Magic,90,Miami Heat,107
2021-10-25,Washington Wizards,90,Brooklyn Nets,104
2021-10-25,Detroit Pistons,104,Atlanta Hawks,122
2021-10-25,New Orleans Pelicans,107,Minnesota Timberwolves,98
2021-10-25,Cleveland Cavaliers,99,Denver Nuggets,87
2021-10-25,Portland Trail Blazers,86,Los Angeles Clippers,116
2021-10-26,Philadelphia 76ers,99,New York Knicks,112
2021-10-26,Golden State Warriors,106,Oklahoma City Thunder,98
2021-10-26,Los Angeles Lakers,125,San Antonio Spurs,121
2021-10-26,Houston Rockets,106,Dallas Mavericks,116
2021-10-26,Denver Nuggets,110,Utah Jazz,122
2021-10-27,Charlotte Hornets,120,Orlando Magic,111
2021-10-27,Washington Wizards,116,Boston Celtics,107
2021-10-27,Miami Heat,106,Brooklyn Nets,93
2021-10-27,Indiana Pacers,100,Toronto Raptors,118
2021-10-27,Atlanta Hawks,102,New Orleans Pelicans,99
2021-10-27,Minnesota Timberwolves,113,Milwaukee Bucks,108
2021-10-27,Los Angeles Lakers,115,Oklahoma City Thunder,123
2021-10-27,Sacramento Kings,110,Phoenix Suns,107
2021-10-27,Memphis Grizzlies,96,Portland Trail Blazers,116
2021-10-27,Cleveland Cavaliers,92,Los Angeles Clippers,79
2021-10-28,Atlanta Hawks,111,Washington Wizards,122
2021-10-28,Detroit Pistons,102,Philadelphia 76ers,110
2021-10-28,Utah Jazz,122,Houston Rockets,91
2021-10-28,New York Knicks,104,Chicago Bulls,103
2021-10-28,San Antonio Spurs,99,Dallas Mavericks,104
2021-10-28,Memphis Grizzlies,104,Golden State Warriors,101
2021-10-29,Orlando Magic,109,Toronto Raptors,110
2021-10-29,Charlotte Hornets,99,Miami Heat,114
2021-10-29,Indiana Pacers,98,Brooklyn Nets,105
2021-10-29,Sacramento Kings,113,New Orleans Pelicans,109
2021-10-29,Dallas Mavericks,75,Denver Nuggets,106
2021-10-29,Los Angeles Clippers,92,Portland Trail Blazers,111
2021-10-29,Cleveland Cavaliers,101,Los Angeles Lakers,113
2021-10-30,Boston Celtics,112,Washington Wizards,115
2021-10-30,Orlando Magic,103,Detroit Pistons,110
2021-10-30,New York Knicks,123,New Orleans Pelicans,117
2021-10-30,Toronto Raptors,97,Indiana Pacers,94
2021-10-30,Atlanta Hawks,94,Philadelphia 76ers,122
2021-10-30,Utah Jazz,99,Chicago Bulls,107
2021-10-30,Miami Heat,129,Memphis Grizzlies,103
2021-10-30,San Antonio Spurs,102,Milwaukee Bucks,93
2021-10-30,Oklahoma City Thunder,82,Golden State Warriors,103
2021-10-30,Denver Nuggets,93,Minnesota Timberwolves,91
2021-10-30,Cleveland Cavaliers,92,Phoenix Suns,101
2021-10-31,Sacramento Kings,99,Dallas Mavericks,105
2021-10-31,Portland Trail Blazers,113,Charlotte Hornets,125
2021-10-31,Utah Jazz,107,Milwaukee Bucks,95
2021-10-31,Detroit Pistons,91,Brooklyn Nets,117
2021-10-31,Houston Rockets,85,Los Angeles Lakers,95
2022-06-02,Boston Celtics,120,Golden State Warriors,108
2022-06-05,Boston Celtics,88,Golden State Warriors,107
2022-06-08,Golden State Warriors,100,Boston Celtics,116
2022-06-10,Golden State Warriors,107,Boston Celtics,97
2022-06-13,Boston Celtics,94,Golden State Warriors,104
2022-06-16,Golden State Warriors,103,Boston Celtics,90
2022-05-01,Milwaukee Bucks,101,Boston Celtics,89
2022-05-01,Golden State Warriors,117,Memphis Grizzlies,116
2022-05-02,Philadelphia 76ers,92,Miami Heat,106
2022-05-02,Dallas Mavericks,114,Phoenix Suns,121
2022-05-03,Milwaukee Bucks,86,Boston Celtics,109
2022-05-03,Golden State Warriors,101,Memphis Grizzlies,106
2022-05-04,Philadelphia 76ers,103,Miami Heat,119
2022-05-04,Dallas Mavericks,109,Phoenix Suns,129
2022-05-06,Miami Heat,79,Philadelphia 76ers,99
2022-05-06,Phoenix Suns,94,Dallas Mavericks,103
2022-05-07,Boston Celtics,101,Milwaukee Bucks,103
2022-05-07,Memphis Grizzlies,112,Golden State Warriors,142
2022-05-08,Phoenix Suns,101,Dallas Mavericks,111
2022-05-08,Miami Heat,108,Philadelphia 76ers,116
2022-05-09,Boston Celtics,116,Milwaukee Bucks,108
2022-05-09,Memphis Grizzlies,98,Golden State Warriors,101
2022-05-10,Philadelphia 76ers,85,Miami Heat,120
2022-05-10,Dallas Mavericks,80,Phoenix Suns,110
2022-05-11,Milwaukee Bucks,110,Boston Celtics,107
2022-05-11,Golden State Warriors,95,Memphis Grizzlies,134
2022-05-12,Miami Heat,99,Philadelphia 76ers,90
2022-05-12,Phoenix Suns,86,Dallas Mavericks,113
2022-05-13,Boston Celtics,108,Milwaukee Bucks,95
2022-05-13,Memphis Grizzlies,96,Golden State Warriors,110
2022-05-15,Milwaukee Bucks,81,Boston Celtics,109
2022-05-15,Dallas Mavericks,123,Phoenix Suns,90
2022-05-17,Boston Celtics,107,Miami Heat,118
2022-05-18,Dallas Mavericks,87,Golden State Warriors,112
2022-05-19,Boston Celtics,127,Miami Heat,102
2022-05-20,Dallas Mavericks,117,Golden State Warriors,126
2022-05-21,Miami Heat,109,Boston Celtics,103
2022-05-22,Golden State Warriors,109,Dallas Mavericks,100
2022-05-23,Miami Heat,82,Boston Celtics,102
2022-05-24,Golden State Warriors,109,Dallas Mavericks,119
2022-05-25,Boston Celtics,93,Miami Heat,80
2022-05-26,Dallas Mavericks,110,Golden State Warriors,120
2022-05-27,Miami Heat,111,Boston Celtics,103
2022-05-29,Boston Celtics,100,Miami Heat,96
2022-04-01,Toronto Raptors,102,Orlando Magic,89
2022-04-01,Dallas Mavericks,103,Washington Wizards,135
2022-04-01,Indiana Pacers,123,Boston Celtics,128
2022-04-01,Sacramento Kings,122,Houston Rockets,117
2022-04-01,Phoenix Suns,114,Memphis Grizzlies,122
2022-04-01,Los Angeles Clippers,153,Milwaukee Bucks,119
2022-04-01,Detroit Pistons,110,Oklahoma City Thunder,101
2022-04-01,Portland Trail Blazers,111,San Antonio Spurs,130
2022-04-01,Minnesota Timberwolves,136,Denver Nuggets,130
2022-04-01,New Orleans Pelicans,114,Los Angeles Lakers,111
2022-04-02,Charlotte Hornets,114,Philadelphia 76ers,144
2022-04-02,Cleveland Cavaliers,119,New York Knicks,101
2022-04-02,Brooklyn Nets,115,Atlanta Hawks,122
2022-04-02,Miami Heat,127,Chicago Bulls,109
2022-04-02,Utah Jazz,107,Golden State Warriors,111
2022-04-03,Washington Wizards,102,Boston Celtics,144
2022-04-03,Dallas Mavericks,118,Milwaukee Bucks,112
2022-04-03,Denver Nuggets,129,Los Angeles Lakers,118
2022-04-03,Detroit Pistons,121,Indiana Pacers,117
2022-04-03,Philadelphia 76ers,112,Cleveland Cavaliers,108
2022-04-03,New York Knicks,118,Orlando Magic,88
2022-04-03,Minnesota Timberwolves,139,Houston Rockets,132
2022-04-03,Phoenix Suns,96,Oklahoma City Thunder,117
2022-04-03,Portland Trail Blazers,92,San Antonio Spurs,113
2022-04-03,Miami Heat,114,Toronto Raptors,109
2022-04-03,Golden State Warriors,109,Sacramento Kings,90
2022-04-03,New Orleans Pelicans,100,Los Angeles Clippers,119
2022-04-05,Philadelphia 76ers,131,Indiana Pacers,122
2022-04-05,Cleveland Cavaliers,115,Orlando Magic,120
2022-04-05,Houston Rockets,105,Brooklyn Nets,118
2022-04-05,Charlotte Hornets,115,Miami Heat,144
2022-04-05,Atlanta Hawks,108,Toronto Raptors,118
2022-04-05,Milwaukee Bucks,127,Chicago Bulls,106
2022-04-05,Washington Wizards,132,Minnesota Timberwolves,114
2022-04-05,Portland Trail Blazers,94,Oklahoma City Thunder,98
2022-04-05,San Antonio Spurs,116,Denver Nuggets,97
2022-04-05,Memphis Grizzlies,115,Utah Jazz,121
2022-04-05,New Orleans Pelicans,123,Sacramento Kings,109
2022-04-05,Los Angeles Lakers,110,Phoenix Suns,121
2022-04-06,Dallas Mavericks,131,Detroit Pistons,113
2022-04-06,Brooklyn Nets,110,New York Knicks,98
2022-04-06,Washington Wizards,103,Atlanta Hawks,118
2022-04-06,Boston Celtics,117,Chicago Bulls,94
2022-04-06,Oklahoma City Thunder,101,Utah Jazz,137
2022-04-06,Phoenix Suns,109,Los Angeles Clippers,113
2022-04-07,Orlando Magic,101,Charlotte Hornets,128
2022-04-07,Boston Celtics,121,Milwaukee Bucks,127
2022-04-07,Philadelphia 76ers,114,Toronto Raptors,119
2022-04-07,San Antonio Spurs,121,Minnesota Timberwolves,127
2022-04-07,Portland Trail Blazers,94,New Orleans Pelicans,127
2022-04-07,Memphis Grizzlies,109,Denver Nuggets,122
2022-04-07,Los Angeles Lakers,112,Golden State Warriors,128
2022-04-08,Milwaukee Bucks,131,Detroit Pistons,101
2022-04-08,New York Knicks,114,Washington Wizards,92
2022-04-08,Cleveland Cavaliers,107,Brooklyn Nets,118
2022-04-08,Houston Rockets,115,Toronto Raptors,117
2022-04-08,Charlotte Hornets,133,Chicago Bulls,117
2022-04-08,Atlanta Hawks,109,Miami Heat,113
2022-04-08,Portland Trail Blazers,78,Dallas Mavericks,128
2022-04-08,Phoenix Suns,111,Utah Jazz,105
2022-04-08,Oklahoma City Thunder,101,Los Angeles Lakers,120
2022-04-09,Indiana Pacers,120,Philadelphia 76ers,133
2022-04-09,New Orleans Pelicans,114,Memphis Grizzlies,141
2022-04-09,Golden State Warriors,100,San Antonio Spurs,94
2022-04-09,Sacramento Kings,98,Los Angeles Clippers,117
2022-04-10,Indiana Pacers,126,Brooklyn Nets,134
2022-04-10,Washington Wizards,108,Charlotte Hornets,124
2022-04-10,Milwaukee Bucks,115,Cleveland Cavaliers,133
2022-04-10,Atlanta Hawks,130,Houston Rockets,114
2022-04-10,Boston Celtics,139,Memphis Grizzlies,110
2022-04-10,Toronto Raptors,94,New York Knicks,105
2022-04-10,Miami Heat,111,Orlando Magic,125
2022-04-10,Detroit Pistons,106,Philadelphia 76ers,118
2022-04-10,Chicago Bulls,124,Minnesota Timberwolves,120
2022-04-10,San Antonio Spurs,120,Dallas Mavericks,130
2022-04-10,Los Angeles Lakers,146,Denver Nuggets,141
2022-04-10,Oklahoma City Thunder,88,Los Angeles Clippers,138
2022-04-10,Golden State Warriors,128,New Orleans Pelicans,107
2022-04-10,Sacramento Kings,116,Phoenix Suns,109
2022-04-10,Utah Jazz,111,Portland Trail Blazers,80
2022-04-12,Cleveland Cavaliers,108,Brooklyn Nets,115
2022-04-12,Los Angeles Clippers,104,Minnesota Timberwolves,109
2022-04-13,Charlotte Hornets,103,Atlanta Hawks,132
2022-04-13,San Antonio Spurs,103,New Orleans Pelicans,113
2022-04-15,Atlanta Hawks,107,Cleveland Cavaliers,101
2022-04-15,New Orleans Pelicans,105,Los Angeles Clippers,101
2022-04-16,Utah Jazz,99,Dallas Mavericks,93
2022-04-16,Minnesota Timberwolves,130,Memphis Grizzlies,117
2022-04-16,Toronto Raptors,111,Philadelphia 76ers,131
2022-04-16,Denver Nuggets,107,Golden State Warriors,123
2022-04-17,Atlanta Hawks,91,Miami Heat,115
2022-04-17,Brooklyn Nets,114,Boston Celtics,115
2022-04-17,Chicago Bulls,86,Milwaukee Bucks,93
2022-04-17,New Orleans Pelicans,99,Phoenix Suns,110
2022-04-18,Toronto Raptors,97,Philadelphia 76ers,112
2022-04-18,Utah Jazz,104,Dallas Mavericks,110
2022-04-18,Denver Nuggets,106,Golden State Warriors,126
2022-04-19,Atlanta Hawks,105,Miami Heat,115
2022-04-19,Minnesota Timberwolves,96,Memphis Grizzlies,124
2022-04-19,New Orleans Pelicans,125,Phoenix Suns,114
2022-04-20,Brooklyn Nets,107,Boston Celtics,114
2022-04-20,Philadelphia 76ers,104,Toronto Raptors,101
2022-04-20,Chicago Bulls,114,Milwaukee Bucks,110
2022-04-21,Memphis Grizzlies,104,Minnesota Timberwolves,95
2022-04-21,Dallas Mavericks,126,Utah Jazz,118
2022-04-21,Golden State Warriors,118,Denver Nuggets,113
2022-04-22,Miami Heat,110,Atlanta Hawks,111
2022-04-22,Milwaukee Bucks,111,Chicago Bulls,81
2022-04-22,Phoenix Suns,114,New Orleans Pelicans,111
2022-04-23,Philadelphia 76ers,102,Toronto Raptors,110
2022-04-23,Dallas Mavericks,99,Utah Jazz,100
2022-04-23,Boston Celtics,109,Brooklyn Nets,103
2022-04-23,Memphis Grizzlies,118,Minnesota Timberwolves,119
2022-04-24,Milwaukee Bucks,119,Chicago Bulls,95
2022-04-24,Golden State Warriors,121,Denver Nuggets,126
2022-04-24,Miami Heat,110,Atlanta Hawks,86
2022-04-24,Phoenix Suns,103,New Orleans Pelicans,118
2022-04-25,Boston Celtics,116,Brooklyn Nets,112
2022-04-25,Toronto Raptors,103,Philadelphia 76ers,88
2022-04-25,Utah Jazz,77,Dallas Mavericks,102
2022-04-26,Atlanta Hawks,94,Miami Heat,97
2022-04-26,Minnesota Timberwolves,109,Memphis Grizzlies,111
2022-04-26,New Orleans Pelicans,97,Phoenix Suns,112
2022-04-27,Chicago Bulls,100,Milwaukee Bucks,116
2022-04-27,Denver Nuggets,98,Golden State Warriors,102
2022-04-28,Philadelphia 76ers,132,Toronto Raptors,97
2022-04-28,Phoenix Suns,115,New Orleans Pelicans,109
2022-04-28,Dallas Mavericks,98,Utah Jazz,96
2022-04-29,Memphis Grizzlies,114,Minnesota Timberwolves,106
2022-03-01,Detroit Pistons,113,Washington Wizards,116
2022-03-01,Atlanta Hawks,98,Boston Celtics,107
2022-03-01,Brooklyn Nets,108,Toronto Raptors,109
2022-03-01,Los Angeles Clippers,113,Houston Rockets,100
2022-03-01,Golden State Warriors,114,Minnesota Timberwolves,129
2022-03-01,Dallas Mavericks,109,Los Angeles Lakers,104
2022-03-02,Charlotte Hornets,119,Cleveland Cavaliers,98
2022-03-02,Indiana Pacers,122,Orlando Magic,114
2022-03-02,New York Knicks,108,Philadelphia 76ers,123
2022-03-02,Utah Jazz,132,Houston Rockets,127
2022-03-02,Miami Heat,119,Milwaukee Bucks,120
2022-03-02,Sacramento Kings,95,New Orleans Pelicans,125
2022-03-02,Oklahoma City Thunder,119,Denver Nuggets,107
2022-03-02,Portland Trail Blazers,90,Phoenix Suns,120
2022-03-03,Chicago Bulls,124,Atlanta Hawks,130
2022-03-03,Memphis Grizzlies,107,Boston Celtics,120
2022-03-03,Miami Heat,113,Brooklyn Nets,107
2022-03-03,Detroit Pistons,108,Toronto Raptors,106
2022-03-03,Golden State Warriors,113,Dallas Mavericks,122
2022-03-03,Sacramento Kings,115,San Antonio Spurs,112
2022-03-03,Los Angeles Lakers,111,Los Angeles Clippers,132
2022-03-04,Indiana Pacers,106,Detroit Pistons,111
2022-03-04,Cleveland Cavaliers,119,Philadelphia 76ers,125
2022-03-04,Atlanta Hawks,117,Washington Wizards,114
2022-03-04,Milwaukee Bucks,118,Chicago Bulls,112
2022-03-04,Orlando Magic,103,Toronto Raptors,97
2022-03-04,Utah Jazz,90,New Orleans Pelicans,124
2022-03-04,Minnesota Timberwolves,138,Oklahoma City Thunder,101
2022-03-04,Houston Rockets,101,Denver Nuggets,116
2022-03-04,New York Knicks,114,Phoenix Suns,115
2022-03-05,Sacramento Kings,113,Dallas Mavericks,114
2022-03-05,San Antonio Spurs,117,Charlotte Hornets,123
2022-03-05,Orlando Magic,96,Memphis Grizzlies,124
2022-03-05,Philadelphia 76ers,82,Miami Heat,99
2022-03-05,Portland Trail Blazers,121,Minnesota Timberwolves,135
2022-03-05,Golden State Warriors,116,Los Angeles Lakers,124
2022-03-06,Brooklyn Nets,120,Boston Celtics,126
2022-03-06,Phoenix Suns,122,Milwaukee Bucks,132
2022-03-06,Indiana Pacers,123,Washington Wizards,133
2022-03-06,Memphis Grizzlies,112,Houston Rockets,123
2022-03-06,Utah Jazz,116,Oklahoma City Thunder,103
2022-03-06,Toronto Raptors,96,Cleveland Cavaliers,104
2022-03-06,New Orleans Pelicans,130,Denver Nuggets,138
2022-03-06,New York Knicks,116,Los Angeles Clippers,93
2022-03-07,Atlanta Hawks,110,Detroit Pistons,113
2022-03-07,Chicago Bulls,106,Philadelphia 76ers,121
2022-03-07,Houston Rockets,106,Miami Heat,123
2022-03-07,Portland Trail Blazers,81,Minnesota Timberwolves,124
2022-03-07,Utah Jazz,103,Dallas Mavericks,111
2022-03-07,Los Angeles Lakers,110,San Antonio Spurs,117
2022-03-07,Golden State Warriors,124,Denver Nuggets,131
2022-03-07,New York Knicks,131,Sacramento Kings,115
2022-03-08,Brooklyn Nets,132,Charlotte Hornets,121
2022-03-08,Cleveland Cavaliers,127,Indiana Pacers,124
2022-03-08,Phoenix Suns,102,Orlando Magic,99
2022-03-08,New Orleans Pelicans,111,Memphis Grizzlies,132
2022-03-08,Milwaukee Bucks,142,Oklahoma City Thunder,115
2022-03-08,Los Angeles Clippers,97,Golden State Warriors,112
2022-03-09,Boston Celtics,115,Charlotte Hornets,101
2022-03-09,Chicago Bulls,114,Detroit Pistons,108
2022-03-09,Phoenix Suns,111,Miami Heat,90
2022-03-09,Los Angeles Lakers,130,Houston Rockets,139
2022-03-09,Atlanta Hawks,115,Milwaukee Bucks,124
2022-03-09,Oklahoma City Thunder,102,Minnesota Timberwolves,132
2022-03-09,Orlando Magic,108,New Orleans Pelicans,102
2022-03-09,New York Knicks,107,Dallas Mavericks,77
2022-03-09,Toronto Raptors,119,San Antonio Spurs,104
2022-03-09,Denver Nuggets,106,Sacramento Kings,100
2022-03-09,Portland Trail Blazers,85,Utah Jazz,123
2022-03-09,Washington Wizards,109,Los Angeles Clippers,115
2022-03-10,Brooklyn Nets,129,Philadelphia 76ers,100
2022-03-10,Golden State Warriors,113,Denver Nuggets,102
2022-03-11,Minnesota Timberwolves,110,Orlando Magic,118
2022-03-11,Los Angeles Clippers,106,Atlanta Hawks,112
2022-03-11,Detroit Pistons,103,Boston Celtics,114
2022-03-11,Dallas Mavericks,113,Houston Rockets,100
2022-03-11,New York Knicks,114,Memphis Grizzlies,118
2022-03-11,Cleveland Cavaliers,105,Miami Heat,117
2022-03-11,Charlotte Hornets,142,New Orleans Pelicans,120
2022-03-11,Utah Jazz,102,San Antonio Spurs,104
2022-03-11,Toronto Raptors,117,Phoenix Suns,112
2022-03-11,Washington Wizards,109,Los Angeles Lakers,122
2022-03-12,Cleveland Cavaliers,91,Chicago Bulls,101
2022-03-12,Minnesota Timberwolves,113,Miami Heat,104
2022-03-12,Indiana Pacers,119,San Antonio Spurs,108
2022-03-12,Milwaukee Bucks,109,Golden State Warriors,122
2022-03-12,Toronto Raptors,127,Denver Nuggets,115
2022-03-12,Sacramento Kings,125,Utah Jazz,134
2022-03-12,Washington Wizards,118,Portland Trail Blazers,127
2022-03-13,New York Knicks,107,Brooklyn Nets,110
2022-03-13,Los Angeles Clippers,106,Detroit Pistons,102
2022-03-13,Dallas Mavericks,95,Boston Celtics,92
2022-03-13,Philadelphia 76ers,116,Orlando Magic,114
2022-03-13,Indiana Pacers,128,Atlanta Hawks,131
2022-03-13,Houston Rockets,105,New Orleans Pelicans,130
2022-03-13,Memphis Grizzlies,125,Oklahoma City Thunder,118
2022-03-13,Los Angeles Lakers,111,Phoenix Suns,140
2022-03-14,Los Angeles Clippers,111,Cleveland Cavaliers,120
2022-03-14,Portland Trail Blazers,113,Atlanta Hawks,122
2022-03-14,Denver Nuggets,114,Philadelphia 76ers,110
2022-03-14,Charlotte Hornets,134,Oklahoma City Thunder,116
2022-03-14,Minnesota Timberwolves,149,San Antonio Spurs,139
2022-03-14,Washington Wizards,112,Golden State Warriors,126
2022-03-14,Chicago Bulls,103,Sacramento Kings,112
2022-03-14,Milwaukee Bucks,117,Utah Jazz,111
2022-03-14,Toronto Raptors,114,Los Angeles Lakers,103
2022-03-15,Memphis Grizzlies,135,Indiana Pacers,102
2022-03-15,Brooklyn Nets,150,Orlando Magic,108
2022-03-15,Detroit Pistons,98,Miami Heat,105
2022-03-15,Phoenix Suns,131,New Orleans Pelicans,115
2022-03-16,Atlanta Hawks,106,Charlotte Hornets,116
2022-03-16,Philadelphia 76ers,118,Cleveland Cavaliers,114
2022-03-16,Denver Nuggets,127,Washington Wizards,109
2022-03-16,Dallas Mavericks,113,Brooklyn Nets,111
2022-03-16,Portland Trail Blazers,98,New York Knicks,128
2022-03-16,Phoenix Suns,129,Houston Rockets,112
2022-03-16,Los Angeles Lakers,104,Minnesota Timberwolves,124
2022-03-16,Oklahoma City Thunder,120,San Antonio Spurs,122
2022-03-16,Chicago Bulls,110,Utah Jazz,125
2022-03-16,Boston Celtics,110,Golden State Warriors,88
2022-03-16,Milwaukee Bucks,135,Sacramento Kings,126
2022-03-16,Toronto Raptors,103,Los Angeles Clippers,100
2022-03-17,Detroit Pistons,134,Orlando Magic,120
2022-03-18,Dallas Mavericks,101,Philadelphia 76ers,111
2022-03-18,Memphis Grizzlies,105,Atlanta Hawks,120
2022-03-18,Portland Trail Blazers,123,Brooklyn Nets,128
2022-03-18,Denver Nuggets,116,Cleveland Cavaliers,119
2022-03-18,Washington Wizards,97,New York Knicks,100
2022-03-18,Los Angeles Lakers,128,Toronto Raptors,123
2022-03-18,Indiana Pacers,121,Houston Rockets,118
2022-03-18,Oklahoma City Thunder,108,Miami Heat,120
2022-03-18,New Orleans Pelicans,124,San Antonio Spurs,91
2022-03-18,Los Angeles Clippers,92,Utah Jazz,121
2022-03-18,Chicago Bulls,102,Phoenix Suns,129
2022-03-18,Boston Celtics,126,Sacramento Kings,97
2022-03-19,Milwaukee Bucks,119,Minnesota Timberwolves,138
2022-03-19,Dallas Mavericks,108,Charlotte Hornets,129
